בטרם תחיל	1840	-59380.987514271415
מקדש ומשכן	1840	-59380.987514271415
ומקום לגמלים	1840	-59380.987514271415
בניהם ושיחללו	1840	-59380.987514271415
היים נצהיים	1840	-59380.987514271415
עמלו וטרחו	1840	-59380.987514271415
לנגד עיגי	1840	-59380.98741393306
ברזל בברזל	1840	-59380.98741393306
ברזל ולחומות	1840	-59380.98741393306
ומשפט ומשרים	1840	-59380.98741393306
ברזל ועפרת	1840	-59380.98741393306
לבנו ולבתו	1840	-59380.98741257937
קהל עדתי	1840	-59380.98741257937
קהל המיחדים	1840	-59380.98741257937
אביה כנעוריה	1840	-59380.98711556508
מצוות כרימון	1840	-59380.98711556508
ריב וקטטה	1840	-59380.987104733635
וביום שמחתכם	1840	-59380.987104733635
לתוך תחומו	1840	-59380.987104733635
אכלו ושבעו	1840	-59380.987104733635
צו לצו	1840	-59380.987104733635
שאתם גרמתם	1840	-59380.987104733635
לתוך נחיריו	1840	-59380.987104733635
בארצות פזורינו	1840	-59380.98662305064
קדמון כקדמות	1840	-59380.98662305064
בארצות הקרם	1840	-59380.98662305064
אלפי שמשות	1840	-59380.98662305064
תהיו סבורין	1840	-59380.98662305064
החלוקה המשולשת	1840	-59380.9865864834
פגע בערוה	1840	-59380.9865864834
לרב ולראש	1840	-59380.98594015971
המצוות והעבירות	1840	-59380.98594015971
העולמים וזורע	1840	-59380.98594015971
הנר שהדליק	1840	-59380.98594015971
משפטי צדקך	1840	-59380.98594015971
במעשיו ובפעולותיו	1840	-59380.985853444996
במעשיו ובדרכיו	1840	-59380.985853444996
ירבה לסלוח	1840	-59380.98507055359
אמרינן מיגו	1840	-59380.98507055359
הטור והש	1840	-59380.98507055359
מחזיק הבדק	1840	-59380.98490109632
למלאות תאוותם	1840	-59380.98490109632
מחזיק בתומתו	1840	-59380.98490109632
פסק פומי	1840	-59380.98490109632
חרב פיפיות	1840	-59380.98490109632
יפלו ממועצותיהם	1840	-59380.98490109632
ערבי ועברי	1840	-59380.98401778888
מגן וצינה	1840	-59380.98401778888
מגן ומחסה	1840	-59380.98401778888
דומים לאבותיהם	1840	-59380.983724770944
אנה ינאצוני	1840	-59380.983724770944
יגיעו ועמלו	1840	-59380.983724770944
הזוהר ותיקונים	1840	-59380.983724770944
הנותן והמשפיע	1840	-59380.98278532159
אתרי רכשי	1840	-59380.98278532159
עוברים וחולפים	1840	-59380.98231965188
צרה וינון	1840	-59380.98231965188
משפטו ודינו	1840	-59380.98231965188
צרה ותוכחה	1840	-59380.98231965188
תרגום אונקלום	1840	-59380.98231965188
טובו ויפיו	1840	-59380.98137651077
עבדו ושפחתו	1840	-59380.98137651077
עדי ותכשיט	1840	-59380.98137651077
אבני ננף	1840	-59380.98137651077
לחיי העוהיב	1840	-59380.98137651077
אבני הננף	1840	-59380.98137651077
עליונים ותתתונים	1840	-59380.98068076506
אחים יפריא	1840	-59380.9797946222
תאכל ומכוסו	1840	-59380.9797946222
יורד ושוקע	1840	-59380.9797946222
תאכל ותשבע	1840	-59380.9797946222
צורות מופשטות	1840	-59380.9797946222
אחים וריעים	1840	-59380.9797946222
פרה ארומה	1840	-59380.97880297243
פת בסלו	1840	-59380.97880297243
טבעית והכרחית	1840	-59380.97880297243
פרה אלומה	1840	-59380.97880297243
הלוך ונדל	1840	-59380.97880297243
אלהינו נדגול	1840	-59380.97804283175
שאינן צודקות	1840	-59380.97668096464
לחזק בדקי	1840	-59380.97612422868
השופט והדיין	1840	-59380.97612422868
כמוך כפרעה	1840	-59380.97612422868
ודור תקומם	1840	-59380.97612422868
חורה ומצוח	1840	-59380.97612422868
מעת דגנם	1840	-59380.97612422868
מפרשים ומבארים	1840	-59380.97430925338
טעמים הכמוסים	1840	-59380.97430925338
נסים גירונדי	1840	-59380.97430925338
אפי זוטרי	1840	-59380.97430925338
נסתר ומכוסה	1840	-59380.97404181872
המוציא משאוי	1840	-59380.97404181872
ישמח ויגיל	1840	-59380.97404181872
הילד ויגמל	1840	-59380.97404181872
ואינה תדירה	1840	-59380.97179852714
ואינה משפעת	1840	-59380.97179852714
עשתה ותמכור	1840	-59380.97179852714
ואנו מייחסים	1840	-59380.97179852714
עזרא וזרובבל	1840	-59380.97179852714
עזרא וסייעתו	1840	-59380.97179852714
